category,difficulty,focus,mood,quiz_score,recommended_time
reading,easy,2,4,41,42
reading,hard,1,4,75,60
mathematics,easy,2,1,94,36
language,easy,2,1,83,36
other,medium,1,1,71,44
mathematics,easy,5,4,82,48
science,easy,4,3,92,44
language,hard,5,3,88,66
science,hard,5,4,69,68
reading,medium,2,4,74,52
other,hard,3,5,54,66
science,hard,5,3,89,66
mathematics,hard,4,4,49,66
programming,hard,5,2,46,64
other,easy,1,4,80,40
mathematics,medium,5,2,72,54
science,hard,3,2,87,60
mathematics,medium,3,4,53,54
science,hard,4,5,78,68
science,medium,2,5,84,54
reading,medium,5,3,97,56
mathematics,easy,5,3,84,46
mathematics,medium,2,2,63,48
reading,medium,4,3,49,54
language,hard,4,3,96,64
mathematics,hard,1,4,66,60
other,hard,1,2,89,56
language,hard,1,5,59,62
language,hard,4,2,59,62
reading,easy,5,4,59,48
language,easy,1,5,56,42
other,medium,3,1,96,48
language,medium,1,1,43,44
mathematics,medium,1,3,54,48
science,easy,3,3,74,42
reading,medium,2,5,62,54
reading,hard,2,2,85,58
programming,easy,4,4,45,46
science,hard,5,1,75,62
mathematics,easy,4,5,80,48
other,hard,4,3,94,64
reading,medium,3,1,78,48
other,hard,1,4,50,60
programming,hard,1,5,66,62
mathematics,easy,3,4,40,44
other,medium,4,4,87,56
mathematics,easy,5,1,60,42
mathematics,medium,4,3,59,54
programming,medium,5,3,64,56
other,hard,1,3,65,58
programming,hard,3,5,86,66
mathematics,hard,5,3,100,66
programming,medium,1,1,69,44
programming,medium,2,4,42,52
mathematics,medium,2,2,55,48
mathematics,hard,2,1,47,56
reading,medium,3,3,69,52
programming,medium,4,1,87,50
science,medium,2,1,89,46
other,medium,2,5,73,54
mathematics,easy,4,4,84,46
reading,medium,4,3,93,54
reading,hard,2,3,62,60
programming,medium,5,5,78,60
programming,medium,5,2,66,54
other,hard,5,1,92,62
other,medium,4,4,61,56
mathematics,medium,5,4,83,58
other,hard,1,1,71,54
programming,easy,2,2,93,38
science,hard,4,2,75,62
reading,easy,5,2,54,44
other,medium,2,1,76,46
language,easy,3,1,44,38
programming,medium,4,3,80,54
reading,easy,3,5,95,46
mathematics,medium,5,2,54,54
science,medium,4,2,40,52
programming,medium,4,1,97,50
reading,hard,4,3,68,64
mathematics,hard,4,4,89,66
language,hard,5,2,60,64
mathematics,easy,2,5,77,44
reading,easy,2,5,51,44
programming,hard,1,3,66,58
mathematics,easy,2,5,90,44
science,hard,3,3,90,62
reading,easy,2,2,67,38
reading,hard,5,4,60,68
reading,hard,1,2,77,56
science,easy,4,1,62,40
language,hard,2,1,70,56
reading,easy,1,1,59,34
reading,easy,3,1,84,38
mathematics,easy,2,1,47,36
other,hard,1,1,58,54
language,medium,2,3,93,50
reading,easy,1,1,96,34
programming,hard,5,3,100,66
science,easy,4,3,82,44
mathematics,medium,3,1,53,48
other,medium,5,2,45,54
science,medium,5,1,72,52
language,hard,3,2,60,60
language,easy,5,3,57,46
programming,medium,1,5,74,52
reading,easy,5,1,80,42
reading,hard,5,5,73,70
other,easy,1,1,49,34
mathematics,medium,1,1,86,44
reading,medium,5,4,49,58
reading,hard,2,1,49,56
science,easy,5,2,42,44
language,hard,4,1,57,60
other,hard,4,2,97,62
science,easy,5,5,91,50
reading,easy,1,2,73,36
reading,hard,2,1,73,56
programming,hard,3,1,68,58
programming,easy,3,2,70,40
language,medium,3,5,57,56
science,easy,2,5,86,44
science,medium,1,2,75,46
reading,easy,5,5,66,50
science,easy,4,3,96,44
language,medium,5,5,56,60
language,easy,3,4,42,44
mathematics,medium,4,2,40,52
science,hard,4,2,50,62
language,medium,2,1,54,46
mathematics,easy,3,1,97,38
mathematics,easy,4,5,79,48
language,medium,3,4,66,54
programming,medium,3,1,49,48
programming,hard,1,5,83,62
language,medium,3,2,85,50
other,easy,3,3,58,42
programming,medium,4,3,88,54
programming,easy,2,5,96,44
programming,medium,3,1,79,48
reading,hard,4,4,49,66
mathematics,medium,2,5,61,54
science,hard,2,4,80,62
science,hard,3,4,87,64
mathematics,hard,2,4,66,62
mathematics,medium,5,4,82,58
language,hard,3,1,96,58
programming,easy,5,3,73,46
language,medium,4,3,58,54
other,hard,2,4,51,62
science,medium,5,1,93,52
other,hard,4,4,52,66
language,medium,5,3,59,56
other,hard,1,3,43,58
science,easy,4,5,77,48
programming,easy,5,2,47,44
programming,medium,4,4,71,56
science,medium,1,4,79,50
reading,hard,4,1,61,60
other,easy,3,1,98,38
mathematics,easy,3,3,89,42
other,hard,2,2,42,58
science,easy,3,3,85,42
programming,easy,3,5,45,46
mathematics,medium,3,1,93,48
language,hard,5,4,90,68
language,medium,2,5,91,54
language,hard,1,3,77,58
language,easy,2,1,98,36
programming,hard,4,1,67,60
mathematics,easy,2,4,40,42
language,hard,4,4,61,66
language,hard,4,2,85,62
language,medium,2,5,57,54
programming,hard,4,4,94,66
